"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Set default period in days to send reminder once quote approved. For zero and higher this value can be set for each quote individually. Keep empty to disable reminder.","Establezca el periodo predeterminado en días para enviar el recordatorio una vez aprobada la cotización. Para valores de cero o superiores, este valor se puede configurar individualmente para cada cotización. Deje este campo en blanco para desactivar el recordatorio."
"Send Email Reports for New Quote Requests","Enviar informes por correo electrónico para nuevas solicitudes de cotización"
"Yes(customize)","Sí (personalizar)"
"Yes(instantly)","Sí (al instante)"
"Admin Email Address","Dirección de correo electrónico del administrador"
"Email Template to Notify Admin","Plantilla de correo electrónico para notificar al administrador"
"Select the appropriate template for the email notifications.","Seleccione la plantilla adecuada para las notificaciones por correo electrónico."
"Send Email Notifications to Customers","Enviar notificaciones por correo electrónico a los clientes"
"Disable Notification for","Deshabilitar notificación para"
"Submitted Quote","Cotización enviada"
"Approved Quote","Cotización Aprobada"
"Modified Quote","Cotización modificada"
"Canceled Quote","Cotización cancelada"
"Expired Quote","Cotización vencida"
"Reminder","Recordatorio"
"Email Template for Submitted Quote","Plantilla de correo electrónico para cotización enviada"
"Email Template for Approved Quote","Plantilla de correo electrónico para cotización aprobada"
"Email Template for Modified Quote","Plantilla de correo electrónico para cotización modificada"
"Email Template for Canceled Quote","Plantilla de correo electrónico para cotización cancelada"
"Email Template for Expired Quote","Plantilla de correo electrónico para cotización vencida"
"Email Template for Reminder","Plantilla de correo electrónico para recordatorio"
"To use PDF functionality, please install the library dompdf/dompdf. To do this, run the command ""composer require dompdf/dompdf"" in the main site folder.","Para usar la funcionalidad PDF, instale la biblioteca dompdf/dompdf. Para ello, ejecute el comando ""composer require dompdf/dompdf"" en la carpeta principal del sitio."
"Automatically Attach PDF File to Approved Quote Notification","Adjuntar automáticamente un archivo PDF a la notificación de cotización aprobada"
"Update is available and recommended. See the <a target=""_blank"" href=""%1"">Change Log</a>","Hay una actualización disponible y recomendada. Consulte el <a target=""_blank"" href=""%1"">Registro de cambios</a>"
"Need help with the settings?  Please  consult the <a target=""_blank"" href=""%1"">user guide</a> to configure the extension properly.","¿Necesita ayuda con la configuración? Consulte la <a target=""_blank"" href=""%1"">guía del usuario</a> para configurar la extensión correctamente."
"Auto Cancel Mode","Modo Auto Cancelado"
"Admin Email Notifications","Notificaciones por email del Admin"
"Request New Feature","Solicitar Nueva Función"
"Notify Admin about Orders Canceled by Customers","Notificar al administrador sobre pedidos cancelados por los clientes"
"Also recommended for your store","También recomendado para tu tienda"
"Allow for Selected Group(s)","Permitir para grupos seleccionados"
"Allowed Order Status(es)","Estados de pedidos permitidos"
"Refund Paid Processing Orders Automatically","Reembolso Pagado Procesando Pedidos Automáticamente"
"Choose Yes to configure comment and reasons fields and find out why customers Cancel Orders.","Elija Sí para configurar los campos de comentarios y motivos y descubrir por qué los clientes cancelan pedidos."
"Specify the reasons for Cancel Orders and set the sequence for frontend display.", "Especifique los motivos para cancelar pedidos y configure la secuencia para la visualización en el frontend."
"Enable to automatically cancel pending orders after a set period of time.","Habilitar la cancelación automática de pedidos pendientes después de un período de tiempo determinado."
"Export Orders","Órdenes de exportación"
"Not Installed","No instalado"
"Button Label","Etiqueta del botón"
"Enable Cancellation Popup","Habilitar ventana emergente de cancelación"
"Popup Notice","Aviso emergente"
"Order Cancellation Reasons","Razones de cancelación de pedidos"
"Reasons","Razones"
"Online (if possible)","En línea (si es posible)"
"Pending","Pendiente"
"Processing","Procesando"
"Suspected Fraud","Sospecha de fraude"
"Set 'No' to disable price changing for customers in Quote Cart. Automatic quote approval will be disabled as well.</br>Note! If Amasty Hide Price is enabled, the quote will be submitted with 0 price. Please make sure to check the quote before approving.","Seleccione ""No"" para desactivar la modificación de precios para los clientes en el carrito de cotizaciones. La aprobación automática de cotizaciones también se desactivará.</br>¡Nota! Si la opción ""Ocultar precio"" de Amasty está activada, la cotización se enviará con precio 0. Asegúrese de revisar la cotización antes de aprobarla."
"If you purchased the advanced support and had an issue, please <a href="<?= $escaper->escapeUrl($viewModel->getSubmitTicketUrl()) ?>" target="_blank">submit a ticket</a> to the support department.","Si contrató el soporte avanzado y tuvo un problema, por favor <a href=""<?= $escaper->escapeUrl($viewModel->getSubmitTicketUrl()) ?>"" target=""_blank"">envíe un ticket</a> al departamento de soporte."
"License Registration","Registro de licencia"
"We were unable to verify your product licenses for a certain period. Kindly ensure that the verification process or cron job is enabled.","No pudimos verificar las licencias de sus productos durante un período determinado. Asegúrese de que el proceso de verificación o la tarea cron estén habilitados."
"Production Environment","Entorno de producción"
"License Registration","Registro de licencia"
"Instance Registration Key","Clave de registro de instancia"
"Save and Verify","Guardar y verificar"
"Pending Verification","Pendiente de verificación"
"Get Updates","Recibir actualizaciones"
"How to Update?","¿Cómo actualizar?"
"View Your Products","Ver sus productos"
"Needs to be Updated","Necesita actualizarse"
"I want to Receive Notifications about:","Quiero recibir notificaciones sobre:"
"General Info","Información general"
"Special Deals","Ofertas especiales"
"Available Updates","Actualizaciones disponibles"
"Magento Tips & Tricks","Consejos y trucos de Magento"
"Unsubscribe from all","Darse de baja de todo"
"Enable Feature Suggestions in Config?","¿Habilitar sugerencias de funciones en la configuración?"
"Enable Amasty Menu Item","Habilitar elemento de menú de Amasty"
"System Information","Información del sistema"
"Magento Mode","Modo Magento"
"Magento Path","Ruta de Magento"
"Server User","Usuario del servidor"
"Server User","Usuario del servidor"
"Current Database Time","Hora actual de la base de datos"
"Current Magento Time","Hora actual de Magento"
"Cron (Last 5)","Cron (Ultimos 5)"
"Job code","Código de trabajo"
"Cache Info","Información de caché"
"Name","Nombre"
"Status","Estado"
"Additional Info","Información adicional"
"System Data","Datos del sistema"
"System Settings","Configuración del sistema"
"Current CLI PHP path of your Magento which is used by our extension when running the commands directly during the processing of PHP requests. To change it, please run bin/magento config:set amasty_base/system/cli_php_path %CLI_PHP_PATH% from the command line.","Ruta PHP CLI actual de su Magento, utilizada por nuestra extensión al ejecutar los comandos directamente durante el procesamiento de las solicitudes PHP. Para cambiarla, ejecute bin/magento config:set amasty_base/system/cli_php_path %CLI_PHP_PATH% desde la línea de comandos."
"Rewrites","Reescrituras"
"Extensions Version","Versión de extensiones"
"WeltPixel Documentation","Documentación WeltPixel"
"WeltPixel Help Center","Centro de ayuda de WeltPixel"
"Modules Licenses","Licencias de módulos"
"WeltPixel Debugger","Depurador de WeltPixel"
"Pearl Theme Options","Opciones de tema de Pearl"
"Design Elements","Elementos de diseño"
"Custom Header","Encabezado personalizado"
"Custom Footer","Pie de página personalizado"
"Speed Optimization","Optimización de la velocidad"
"Speed Optimization Settings","Configuración de optimización de velocidad"
"Multi Store","Multitienda"
"Multi Store Settings","Configuración de varias tiendas"
"Full Page Scroll","Desplazamiento de página completa"
"Full Page Scroll Settings","Configuración de desplazamiento de página completa"
"Rich Snippets & Cards Pro","Fragmentos enriquecidos y tarjetas Pro"
"Rich Snippets Settings","Configuración de fragmentos enriquecidos"
"Google Analytics Enhanced Ecommerce Pro","Comercio electrónico mejorado de Google Analytics Pro"
"Enhanced Ecommerce GTM Settings","Configuración mejorada de GTM para comercio electrónico"
"Google Analytics 4 Ecommerce","Google Analytics 4 Comercio electrónico"
"Google Analytics 4 Ecommerce GTM Settings","Configuración de GTM de comercio electrónico de Google Analytics 4"
"Smart Product Tabs","Pestañas de productos inteligentes"
"Smart Product Tabs Settings","Configuración de pestañas de productos inteligentes"
"Smart Product Tabs Grid","Cuadrícula de pestañas de productos inteligentes"
"Quickview & Ajax Cart Pro","Vista rápida y Ajax Cart Pro"
"Quick View & Ajax Cart Settings","Vista rápida y configuración del carrito Ajax"
"Dynamic Quickview Custom Messages","Mensajes personalizados de vista rápida dinámica"
"Ajax Catalog and Infinite Scroll","Catálogo Ajax y Scroll Infinito"
"Ajax Catalog and Infinite Scroll Settings","Catálogo Ajax y configuración de desplazamiento infinito"
"Instagram Widget","Widget de Instagram"
"Instagram Widget Settings","Configuración del widget de Instagram"
"Lazy Loading PRO","Carga diferida PRO"
"Lazy Loading Settings","Configuración de carga diferida"
"Mega Menu","Mega Menú"
"Mega Menu Settings","Configuración del mega menú"
"Enhanced Newsletter Popup PRO","Boletín emergente mejorado PRO"
